name,padrillo,M,Dam_Mean_T3_BSN,Best_Foal_Bsn,mother,Momsiblings,uncles,M_age_at_birth,MomSib_Sibs_raced_at2y,MomSib_wnrs_STK_at2y,birth_eday,MomSib_wnrs3yo_at2y,sex,FathSibSTKWnrsPerOffs,FathSibSTKWnrShL4Gens,PS,PR,PRS,date,title,source,eday,auctionYear,auctionOrder,haras1,ageAtAuction,valueUSDB,pricePerBp,Sire_PS,f_STK_races_total_races,raced_won_g1_yn,cei_per_offs
JOY BESONIA,FORTIFY (USA),BESUQUEIRA SAND,,88.42366,.081261158,-.076497905,.01364772,5.0684934,1,0,23aug2016,0,1,.050000001,.083333336,,,,"17 aug, 2018",Resumen  Liquidacion Total La Biznaga Productos 2016  Lote 2,https://www.turfdiario.com/resumen-liquidacion-total-la-biznaga-productos-2016-lote-2/,17aug2018,2018,14,,1.9835616,7035.1758,1021.9841,.8832593,.27777779,n-n-n,
VALACO RYE,CATCHER IN THE RYE (IRE),STORMY VAGABOND,105.7191,105.40041,.28685659,-.076497905,.054463685,8.0273972,1,0,22jul2016,0,2,.026476579,.03160271,,,,"17 aug, 2018",Resumen  Liquidacion Total La Biznaga Productos 2016  Lote 2,https://www.turfdiario.com/resumen-liquidacion-total-la-biznaga-productos-2016-lote-2/,17aug2018,2018,52,,2.0712328,10050.251,1705.2433,.15322745,.063025214,y-n-n,
WINTER GUEST,CITY BANKER,STORMY TIMIDA,84.87487,122.88199,.29247868,.23073161,.035246849,9.0684929,3,0,31aug2016,1,2,.031088082,.022727273,,,,"13 sep, 2018",Resumen Gran Venta Fallow Septiembre,https://www.turfdiario.com/resumen-gran-venta-fallow-septiembre/,13sep2018,2018,26,El Gusy,2.0356164,6649.3506,1305.0316,.31808499,.06465517,y-n-n,5.3808632
WINDY LAND,CITY BANKER,WIN RACES (USA),,102.73109,.079700232,.063829847,-.041599829,8.482192,2,0,10aug2016,0,1,.031746034,.022727273,,,,"13 sep, 2018",Resumen Gran Venta Fallow Septiembre,https://www.turfdiario.com/resumen-gran-venta-fallow-septiembre/,13sep2018,2018,27,El Gusy,2.0931506,1974.026,866.04999,.32473022,.064835168,n-n-n,3.089859
CHE CORREDOR,MANIPULATOR (USA),STORMY MAILGIRL,88.027786,110.55447,.077875197,.13195482,.035246849,12.010959,5,0,05sep2016,1,2,.025210084,.024523161,,,,"15 aug, 2018",Resumen Venta Copa Agosto  Tattersall De Palermo,https://www.turfdiario.com/resumen-venta-copa-agosto-tattersall-de-palermo/,15aug2018,2018,6,Los Lirios,1.9424658,11764.706,6543.3115,.12683618,.045628037,y-n-n,3.292485
CHE MAQUINA,VIOLENCE (USA),RUNFROMTHESTORM (USA),,123.55012,.20328531,.15904239,-.0091699213,10.320548,2,0,29aug2016,0,1,0,0,,,,"15 aug, 2018",Resumen Venta Copa Agosto  Tattersall De Palermo,https://www.turfdiario.com/resumen-venta-copa-agosto-tattersall-de-palermo/,15aug2018,2018,12,Los Lirios,1.9616438,9075.6299,2188.5417,.49088785,.11111111,n-n-n,3.3397992
INFANTA ROMANA,ROMAN RULER (USA),INFANTA REAL,82.446091,91.1866,.073280603,-.076497905,-.0056777075,7.9095888,0,0,07aug2016,0,1,.059870549,.039393939,,,,"31 jul, 2018",Resumen Venta Invierno Haras Vacacion,https://www.turfdiario.com/resumen-venta-invierno-haras-vacacion/,31jul2018,2018,27,Vacacion,1.980822,10626.993,3811.1279,.36879918,.097175896,n-n-n,
BARSHIM,REMOTE (GB),BASTILLANA,117.14305,107.65089,-.015085757,-.024637647,.076650634,10.758904,2,0,07aug2016,0,2,0,0,,,,"31 jul, 2018",Resumen Venta Invierno Haras Vacacion,https://www.turfdiario.com/resumen-venta-invierno-haras-vacacion/,31jul2018,2018,14,Vacacion,1.980822,5667.7295,1159.9166,.13252145,,n-n-n,.93218642
VETRATO,REMOTE (GB),VENDIMIA PIN,,114.03037,-.24711871,.37303647,-.022113949,17.043835,9,2,05aug2016,2,2,0,0,,,,"31 jul, 2018",Resumen Venta Invierno Haras Vacacion,https://www.turfdiario.com/resumen-venta-invierno-haras-vacacion/,31jul2018,2018,13,Vacacion,1.9863014,23025.15,4103.2676,.13275832,,n-n-n,3.1091638
TRADIZIONALE,HURRICANE CAT (USA),TAQUERA,101.2995,111.55228,.0096819997,.031937174,.01928328,14.00274,4,0,31jul2016,0,2,.04037267,.041935485,,,,"31 jul, 2018",Resumen Venta Invierno Haras Vacacion,https://www.turfdiario.com/resumen-venta-invierno-haras-vacacion/,31jul2018,2018,21,Vacacion,2,26567.482,5503.5635,.38395891,.08542373,y-n-n,.62719524
