lote,name,birth_year,haras,studbook_id,padrillo,M,birth_eday,sex,PR,PS,PRS,Remate,Start,End,Source,link,age,yegua
37,LA BODEGA DE GUZ,2020.0,LA PASION,420810,BODEMEISTER (USA),LA CAPELLETA,2020-09-03,Female,0.58136058,0.080130063,0.046584461,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,4,False
38,LA ISLA DEL SOL,2017.0,LA PASION,401028,LIZARD ISLAND (USA),LA IMPARABLE,2017-10-10,Female,0.76004612,0.14653468,0.11137312,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,7,True
25,LA MAS BONITA,2023.0,EL CHANAR,441796,DADDY LONG LEGS (USA),LA SERENITA,2023-07-28,Female,0.70048565,0.20007791,0.14015169,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
39,LE CHATEAU (USA),2004.0,LA PASION,371853,CHESTER HOUSE (USA),ELISSA BEETHOVEN (GB),2004-03-29,Female,0.34150589,0.23998418,0.081956014,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,20,True
6,LEEDS,2023.0,VACACION,442106,FORTIFY (USA),LIBRATURA,2023-08-05,Male,0.66353518,0.29236165,0.19399224,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
56,LEITMOTIV,2023.0,VACACION,442665,UNCLE CHUCK (USA),LA MUSICAL,2023-08-11,Male,0.69767988,0.1762041,0.12293406,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
40,LEMKA,2019.0,LA PASION,414060,BODEMEISTER (USA),LISBONESA,2019-08-22,Female,0.64178199,0.17687584,0.11351573,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,5,True
55,LIMIT SPEED,2023.0,VACACION,442673,LE BLUES,LA COLIFA,2023-08-17,Male,0.68615007,0.10010903,0.068689816,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
41,LINDA CRAF,2017.0,LA PASION,401065,MASTERCRAFTSMAN (IRE),MISS CARILINDA,2017-10-09,Female,0.70203072,0.24753115,0.17377447,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,7,True
26,LOCAL TIME,2023.0,VACACION,445622,UNCLE CHUCK (USA),LIMUSINA,2023-09-30,Male,0.60982746,0.18211533,0.11105893,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
2,LOOK DIFFERENT,2023.0,SANTA INES,445030,HI HAPPY,LOOK LOVELY,2023-09-16,Male,0.69925845,0.2612966,0.18271385,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
2,LOVELY DAY,2023.0,VACACION,443804,FORTIFY (USA),LITHUANIA,2023-09-11,Female,0.58907092,0.33567268,0.19773501,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
55,LOXLEY,2023.0,ABOLENGO,443913,PNEUMATIC (USA),LOVE ME MORE,2023-09-04,Male,0.62938714,0.11175452,0.070336856,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
42,LUCKY MAMMA,2011.0,LA PASION,317441,EASING ALONG (USA),RUBIA BLONDE,2011-09-12,Female,0.76280624,0.22995357,0.17541002,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,13,True
43,LUNA EGIPCIA,2008.0,LA PASION,293503,SOUTHERN HALO (USA),LUNA POP,2008-10-30,Female,0.63654608,0.16394325,0.10435743,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,16,True
19,LYNELLE,2023.0,VACACION,441673,UNCLE CHUCK (USA),LINDA ESTADIA,2023-07-15,Female,0.5536294,0.12084515,0.066903427,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
38,MACEIO,2023.0,SANTA MARIA DE ARARAS,441760,DANIEL BOONE (BRZ),MALIBU STAR,2023-07-11,Male,0.75640464,0.17163548,0.12982588,Haras SANTA MARIA DE ARARAS,10-04-2025,13-04-2025,argsales,https://arg-sales.com//remates/view/345,1,False
44,MADISON SONG (USA),2003.0,LA PASION,296097,GRAND SLAM (USA),WHALAH,2003-01-25,Female,0.3308534,0.19136091,0.063312404,REMATE DE YEGUAS MADRES - FIRMAMENTO Y LA PASION . 14h,27/03/2025,27/03/2025,bullrich,https://antoniobullrich.com//remates/remate-de-yeguas-madres-firmamento-y-la-pasion-14h/lotes,22,True
8,MAGNIFIC HIT,2022.0,FIRMAMENTO,434630,HIT IT A BOMB (USA),ESPLENDIDA GLORY,2022-07-24,Male,0.79450685,0.20989895,0.16676615,VENTA TRAINING - HARAS FIRMAMENTO . 18h,31/03/2025,31/03/2025,bullrich,https://antoniobullrich.com//remates/venta-training-haras-firmamento-18h/lotes,2,False
6,MANHATTAN JOY,2023.0,SANTA INES,446366,FORTIFY (USA),MODERN GIRL,2023-10-19,Male,0.60281461,0.22481094,0.13551933,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
20,MANI GIRL,2023.0,ABOLENGO,443909,DADDY LONG LEGS (USA),MANI BO,2023-09-02,Female,0.56277794,0.25241157,0.14205167,Haras ABOLENGO,06-04-2025,08-04-2025,argsales,https://arg-sales.com//remates/view/344,1,False
20,MARADONIANO,2023.0,VACACION,442669,FORTIFY (USA),MARADONIANA INC,2023-08-14,Male,0.7309041,0.20460451,0.14954628,Haras VACACION,26-03-2025,29-03-2025,argsales,https://arg-sales.com//remates/view/342,1,False
4,MARIAN HIT,2021.0,FIRMAMENTO,430729,HIT IT A BOMB (USA),LADY MARIAN (USA),2021-10-30,Female,0.86477709,0.26020682,0.2250209,VENTA TRAINING - HARAS FIRMAMENTO . 18h,31/03/2025,31/03/2025,bullrich,https://antoniobullrich.com//remates/venta-training-haras-firmamento-18h/lotes,3,False
18,MARINA CITY,2023.0,SANTA INES,446355,HI HAPPY,MARINA AZUL,2023-10-11,Female,0.49999005,0.16995583,0.084976226,COPA BULLRICH ABRIL . 14h,10/04/2025,10/04/2025,bullrich,https://antoniobullrich.com//remates/copa-bullrich-abril-14h/lotes,1,False
