name,padrillo,yegua,genre,criador,auctionOrder,year,value,valueUSDB,p1,p2,p1_p2,eday,birth_eday
LLEGO BIEN,SEÑOR CANDY (USA),LLEGO LA ESTRELLA,Macho,San Lorenzo De Areco,2,2023,51000,27454.223,0.8284498,0.026216645,0.021719174,2023-04-13,2021-10-02
NANABE CREEK,FORTIFY (USA),NORIMBERGA,Macho,Santa Ines,10,2023,57000,27446.52,0.74026775,0.09346238,0.06918719,2023-05-03,2021-10-10
CAPO ROMAN,ROMAN RULER (USA),CAPA LISTA,Macho,Abolengo,21,2019,28000,27438.145,0.7504482,0.12260576,0.092009276,2019-04-30,2017-10-19
VICTORIA SEGURA,EQUAL STRIPES,VALNERINA,Hembra,Abolengo,16,2019,28000,27438.145,0.473361,0.019548533,0.009253513,2019-04-30,2017-11-03
LOVELY FACE,IN THE DARK,LOVE AND ROSES,Hembra,Vacacion,52,2021,42000,27404.41,0.6266183,0.055442054,0.034741007,2021-03-29,2019-09-08
SADO,EQUAL STRIPES,FREYJA,Macho,La Madrina,11,2024,30000,27402.062,0.5350921,0.04108086,0.021982044,2024-04-08,2022-08-15
ALBUFEIRA,DADDY LONG LEGS (USA),EXCELLENT BID,Hembra,La Madrina,8,2024,30000,27402.062,0.4796887,0.056731038,0.027213238,2024-04-08,2022-10-01
SANTAREM,EQUAL STRIPES,SPLENDA,Macho,La Madrina,12,2024,30000,27402.062,0.58295345,0.03968685,0.023135588,2024-04-08,2022-08-20
TEAM PLAYER,TREASURE BEACH (GB),TWITSTAR,Macho,Abolengo,49,2024,32000,27397.045,0.62098825,0.048829798,0.03032273,2024-03-20,2022-08-07
SUSPENSA,HURRICANE CAT (USA),SUSPECTA,Hembra,El Mallin,44,2019,28000,27385.46,0.7731855,0.066405855,0.051344045,2019-05-15,2017-08-28
NIQUELCROMO,STORM EMBRUJADO,NIQUELADA RYE,Macho,La Leyenda,14,2022,47000,27371.857,0.8017679,0.06267286,0.05024909,2022-05-10,2020-08-07
EL LEJANO,IL CAMPIONE (CHI),SAIARDHANA,Macho,El Paraiso,9,2021,44000,27323.117,0.7238571,0.11420492,0.08266804,2021-04-24,2019-09-13
MONTEAGRELO,IL MERCATO,MADISON SONG (USA),Macho,La Pasion,11,2024,32000,27307.691,0.81297946,0.07152346,0.058147103,2024-04-25,2022-07-19
BARBIE NEW,COSMIC TRIGGER,BARBIE GIRL,Hembra,Abolengo,50,2023,52000,27306.082,0.5857677,0.037903056,0.022202386,2023-03-28,2021-08-12
CARTEADOR,DANIEL BOONE (BRZ),CARTA PATENTE,Macho,Santa Maria De Araras,3,2021,41500,27252.68,0.7907116,0.19732606,0.156028,2021-04-12,2019-08-27
