name,padrillo,yegua,genre,criador,auctionOrder,year,value,valueUSDB,p1,p2,p1_p2,eday,birth_eday
DOTHRAKI,ROMAN RULER (USA),DAMA LAKE,Hembra,Vacacion,24,2019,10500,10305.963,0.6132848,0.08687061,0.053276427,2019-07-03,2017-09-18
CAUTIVE ME,LIZARD ISLAND (USA),CAPTIVA CAT (USA),Macho,Abolengo,46,2019,10500,10305.963,0.73558986,0.034356214,0.025272083,2019-07-03,2017-09-07
MELODY FREE,ENDORSEMENT (USA),MELODY SPRING,Hembra,Masama,21,2023,4100000,10301.508,0.67006165,0.018809281,0.012603378,2023-04-16,2021-08-01
LOBSTER,HIT IT A BOMB (USA),LOCASA NISTEL,Macho,Firmamento,8,2024,13000,10294.309,0.81975704,0.13003117,0.10659397,2024-09-25,2022-08-07
NUNCA DIGAS NUNCA,DADDY LONG LEGS (USA),NIÑA FERNANDA (CHI),Macho,Los Turfistas,14,2023,21000,10288.801,0.34349248,0.049433317,0.016979972,2023-09-11,2021-10-13
DAY LIGHT,HURRICANE CAT (USA),DIMY TRADITION,Hembra,Vacacion,11,2024,14500,10284.884,0.5577244,0.025145924,0.014024496,2024-06-18,2022-10-01
IL GATO VOLADOR,SANTILLANO,EQUAL PRETTY,Macho,La Pasion,18,2020,18500,10282.608,0.6976088,0.04536447,0.031646654,2020-06-24,2018-10-04
TERMS RIMOUT,REMOTE (GB),JANE TERMS,Macho,Firmamento,8,2020,18500,10282.608,0.83075356,0.16351308,0.13583907,2020-06-24,2018-08-25
KOTOR,ORPEN (USA),KOKACHIM,Macho,Santa Ines,6,2022,22000,10262.552,0.7973165,0.10656344,0.08496479,2022-08-17,2020-08-17
OMATE,LIZARD ISLAND (USA),ORCHIDEA,Macho,La Pasion,11,2023,20000,10256.666,0.8731015,0.0391103,0.03414726,2023-06-23,2021-09-28
LONG THE AWARD,LONG ISLAND SOUND (USA),WIN THE AWARD,Macho,La Madrina,17,2023,19000,10248.629,0.72237945,0.04260081,0.03077395,2023-04-04,2021-09-27
OMIKUJI,LONG ISLAND SOUND (USA),BIZUTAGE,Hembra,La Madrina,20,2023,19000,10248.629,0.78604287,0.044812303,0.035224393,2023-04-04,2021-09-15
WHITE LOTUS,DADDY LONG LEGS (USA),WHITE HARBOR (CHI),Hembra,Los Turfistas,18,2024,13500,10247.244,0.35821357,0.05263993,0.018856337,2024-09-10,2022-07-25
SMASHING MORRIS,GOUVERNEUR MORRIS (USA),SMASHING CAT (USA),Macho,La Pasion,2,2024,15000,10244.444,0.6244395,0.059680123,0.037266623,2024-06-28,2022-08-08
TYSON,SEÑOR CANDY (USA),TRAMA SECRETA,Macho,Carampangue,11,2024,15000,10244.444,0.50566584,0.033789992,0.017086444,2024-06-30,2022-10-08
MUCHA SARDINA,MANIPULATOR (USA),MONAGUESCA,Hembra,La Pasion,63,2019,470000,10239.651,0.76548564,0.0295821,0.022644673,2019-05-16,2017-08-27
BRANDENBURG,INCURABLE OPTIMIST (USA),ECOLOGIST,Hembra,El Paraiso,24,2023,3900000,10236.221,0.7840297,0.009422381,0.007387427,2023-03-19,2021-09-25
DISTINGUIDA GIST,CAMPANOLOGIST (USA),DISTINGUIDA FITZ,Hembra,Firmamento,42,2018,390000,10230.851,0.7572796,0.10222845,0.07741552,2018-09-26,2016-07-23
SPECIAL KING,DADDY LONG LEGS (USA),SPECIAL MOMENT (CHI),Macho,Santa Rita,5,2023,19000,10228.044,0.40470967,0.045214303,0.018298665,2023-04-13,2021-08-09
TREMENDAS,DADDY LONG LEGS (USA),TELEMANIACA,Hembra,Santa Rita,17,2023,19000,10228.044,0.39396825,0.023304978,0.009181421,2023-04-13,2021-09-15
EDILLY,COSMIC TRIGGER,EDITINA,Hembra,Abolengo,32,2024,15500,10226.69,0.5189776,0.030034253,0.0155871045,2024-07-07,2022-09-24
PRAIA DO FORTE,SUGGESTIVE BOY,PRANKSTERS (USA),Macho,Pozo De Luna,22,2022,17500,10222.115,0.7274388,0.12506647,0.090978205,2022-06-12,2020-08-07
CALA TARIDA,MANIPULATOR (USA),CANDY COOKIE,Hembra,La Pasion,54,2021,17500,10208.468,0.80279154,0.021369105,0.017154938,2021-04-28,2019-07-31
LEMONCHELO,HURRICANE CAT (USA),LIMONIUM,Macho,De La Pomme,9,2019,470000,10206.298,0.6968214,0.036520425,0.025448214,2019-05-26,2017-10-17
ART MOVIE,GRAND REWARD (USA),ARTISTICA,Macho,Santa Ines,15,2019,470000,10206.298,0.71598727,0.03542547,0.025364185,2019-05-26,2017-08-12
HARAGANO,CITYSCAPE (GB),HASTY QUEEN,Macho,La Providencia,11,2019,10500,10203.436,0.7753628,0.054738764,0.0424424,2019-05-31,2017-07-27
HURITT,GLOBAL HUNTER,HUNDRED,Macho,La Providencia,31,2019,10500,10203.436,0.78030264,0.046211407,0.036058884,2019-05-31,2017-10-19
TRUST IN HER,TREASURE BEACH (GB),TRUE TALENT,Hembra,Orilla Del Monte,13,2022,17500,10193.534,0.5359653,0.020458367,0.010964975,2022-05-27,2020-08-30
RYLANE,FORGE (GB),SHY BESPOKE,Macho,Chenaut,15,2022,17500,10193.534,0.40531304,0.021313462,0.008638624,2022-05-27,2020-09-25
DINGO EMBRUJADO,STORM EMBRUJADO,DISTAR (USA),Macho,La Leyenda,45,2022,17500,10191.649,0.81170976,0.09520954,0.07728251,2022-05-10,2020-07-06
CAPITO COSMICO,COSMIC TRIGGER,CAPA LISTA,Macho,Abolengo,1,2024,13600000,10187.266,0.5451717,0.06398419,0.03488237,2024-08-19,2022-10-10
SEÑOR SKY,SEÑOR CANDY (USA),DONA GABI,Macho,El Arroyo,2,2024,13600000,10187.266,0.44856492,0.04060018,0.018211817,2024-08-19,2022-09-18
DESVELADA SKY,FALLING SKY (USA),LA DESVELADA,Hembra,Don Florentino,31,2022,2900000,10175.438,0.3896691,0.013400664,0.0052218246,2022-09-25,2020-09-20
MOROCHO DEL ABASTO,QUE VIDA BUENA,POR TI MOROCHA,Macho,Don Florentino,13,2022,2900000,10175.438,0.51960444,0.02172633,0.011289098,2022-09-25,2020-10-31
QUE ESTOY PIANTAO,QUE VIDA BUENA,TONIA BULLRICH,Macho,Don Florentino,1,2023,4960000,10174.359,0.49522117,0.017978868,0.0089035155,2023-05-22,2021-07-14
ESTRICTAMENTE,SEEK AGAIN (USA),ENMENDADORA,Hembra,La Esperanza,14,2023,21000,10156.343,0.608579,0.022875197,0.013921364,2023-05-11,2021-08-07
LOYAL MARCUS,LIZARD ISLAND (USA),LA QUINITA (USA),Macho,La Esperanza,10,2023,21000,10156.343,0.6039108,0.028728325,0.017349346,2023-05-11,2021-07-24
ELBRUS,IL CAMPIONE (CHI),EXPRESS PLUS,Macho,El Paraiso,5,2021,19000,10147.808,0.7802414,0.12555051,0.0979597,2021-09-26,2019-09-09
AVERY SUE,ANGIOLO,RUBY SUE,Hembra,El Paraiso,54,2022,17500,10139.087,0.7019445,0.037212823,0.026121335,2022-05-01,2020-09-05
EARLY HOURS,IL CAMPIONE (CHI),EARLY SUMMER (USA),Hembra,El Paraiso,5,2020,18350,10137.063,0.61183167,0.039672516,0.024272902,2020-06-28,2018-10-12
SMASHING MASTER,MASTERCRAFTSMAN (IRE),SMASHING CAT (USA),Macho,La Pasion,34,2022,17500,10131.022,0.6643791,0.06283279,0.04174479,2022-04-29,2020-09-28
CANDY CRAFT,MASTERCRAFTSMAN (IRE),CANDY CRUSH,Macho,La Pasion,32,2022,17500,10131.022,0.8611109,0.08126527,0.069978416,2022-04-29,2020-07-13
GOLDEN WARRIOR,SANTILLANO,GOLDEN SONATA (USA),Macho,La Pasion,30,2022,17500,10131.022,0.8084445,0.04040743,0.032667164,2022-04-29,2020-07-19
EVEN LEGS,DADDY LONG LEGS (USA),EVENTUAL CHAMP,Macho,Abolengo,10,2023,19000,10121.942,0.72238225,0.05850095,0.042260047,2023-07-09,2021-08-25
PYROS,LUCULLAN (USA),IZA,Macho,Rodeo Chico,1,2023,19000,10121.757,0.7812469,0.20969926,0.1638269,2023-03-30,2021-07-26
LAVAGGIO,TREASURE BEACH (GB),LA POTENZA,Macho,La Providencia,10,2023,21000,10120.011,0.7800473,0.04953496,0.038639612,2023-05-08,2021-08-11
TESORO,TREASURE BEACH (GB),SERENITY,Macho,Los Turfistas,16,2024,13500,10116.598,0.5601921,0.020062035,0.011238594,2024-05-26,2022-10-02
SPECIAL TRIGGER,COSMIC TRIGGER,SPIN THE BOTTLE,Macho,Abolengo,79,2021,15500,10113.532,0.5942069,0.037615653,0.022351481,2021-03-29,2019-08-07
IDEAL SONG,LONG ISLAND SOUND (USA),ILDIVA,Hembra,Abolengo,73,2021,15500,10113.532,0.5482359,0.02980912,0.01634243,2021-03-29,2019-09-10
ULTIMA NOTICIA,SEEK AGAIN (USA),ULTIMA PASADA,Hembra,Carampangue,28,2024,14800,10107.852,0.6212364,0.03427648,0.021293798,2024-06-30,2022-08-24
BRILLANTADO,MASK (USA),SHINNY WOMAN,Macho,La Valkiria,5,2023,19000,10106.347,0.47491905,0.026878243,0.012764989,2023-07-07,2021-10-23
LUTHIER BLUES,LE BLUES,HOUSE RULES,Macho,El Paraiso,12,2019,456000,10099.667,0.51425034,0.04899229,0.025194302,2019-05-05,2017-09-13
GATERA GIRL,GREENSPRING (USA),GINGERBREAD MISS (USA),Hembra,Vikeda,17,2022,17500,10099.326,0.632677,0.017580949,0.011123062,2022-05-19,2020-10-17
ULTRA GALILEO,TREASURE BEACH (GB),FIGURA TRIUNFAL,Macho,La Tigra,17,2022,22000,10098.226,0.7020066,0.029680422,0.02083585,2022-08-12,2020-09-23
LA SHELBY,HURRICANE CAT (USA),JORDAN SHELBY (USA),Hembra,El Mallin,1,2021,19000,10095.678,0.7222872,0.06467306,0.04671252,2021-09-29,2019-10-13
CANDY BEER,SEÑOR CANDY (USA),SAND WELLS,Macho,Varias Procedencias,26,2018,300000,10084.033,0.6868326,0.0271439,0.018643316,2018-08-15,2016-08-17
DARK GINA,IN THE DARK,CANDEGGINA,Hembra,Ojos Claros,10,2022,18000,10083.8545,0.6380441,0.017880794,0.011408735,2022-04-27,2020-10-01
LINDO SONIDO,REMOTE (GB),LADY FORTUNE,Macho,Vacacion,24,2021,16200,10072.777,0.6842763,0.07843481,0.05367108,2021-05-22,2019-08-04
INTENSIVAMENTE,JOHN F KENNEDY (IRE),INTENSE LOVE,Hembra,Abolengo,15,2020,19000,10070.536,0.47879213,0.02176979,0.010423204,2020-07-27,2018-08-27
NUEVO POEMA,LE BLUES,NASHVILLE MOON,Macho,Santa Elena,91,2020,18000,10061.407,0.72039944,0.087110154,0.06275411,2020-06-12,2018-10-22
FINO MALEVO,MALENCHINI,TOO FINE,Macho,Masama,17,2023,4000000,10050.251,0.79958576,0.022768075,0.018205028,2023-04-16,2021-09-16
VALACO RYE,CATCHER IN THE RYE (IRE),STORMY VAGABOND,Macho,La Biznaga,52,2018,300000,10050.251,0.8366007,0.066427894,0.055573624,2018-08-17,2016-07-22
PURISIMA RYE,CATCHER IN THE RYE (IRE),DALE PURA,Hembra,La Biznaga,59,2018,300000,10050.251,0.37180316,0.022026649,0.008189578,2018-08-17,2016-12-06
JOY HELADA,FORTIFY (USA),STORMY HELEN,Hembra,La Biznaga,67,2018,300000,10050.251,0.6464987,0.10720522,0.069308035,2018-08-17,2016-10-30
LA DAY,GRAND REWARD (USA),LA DAYTONA,Hembra,Masama,20,2023,4000000,10050.251,0.50100654,0.010771427,0.0053965556,2023-04-16,2021-10-09
FULL DE ACES,MALENCHINI,FULLMETALJACKET,Macho,Masama,18,2023,4000000,10050.251,0.7556485,0.011625267,0.008784615,2023-04-16,2021-09-20
GLORYOSO TEXANO,NASHVILLE TEXAN,GLORY CHOISE,Macho,Masama,13,2023,4000000,10050.251,0.8007069,0.030519616,0.024437267,2023-04-16,2021-09-13
SPIRIT OF LOVE,FULL MAST (USA),SPANISH GUITAR (BRZ),Hembra,La Providencia,20,2021,16000,10030.693,0.54050845,0.027848085,0.015052126,2021-05-09,2019-08-22
OPENOPORTUNITY,CITYSCAPE (GB),OPA LOCKA,Hembra,La Providencia,25,2021,16000,10030.693,0.7515765,0.03874899,0.02912283,2021-05-09,2019-09-13
SOY TROYANO,QUE VIDA BUENA,OFIDIA,Macho,Don Florentino,4,2021,1700000,10029.498,0.55674833,0.031171976,0.017354945,2021-07-05,2019-08-28
DON COHETE,LONG ISLAND SOUND (USA),DOÑA COBRA,Macho,NN Criador,4,2021,16100,10016.56,0.52359325,0.06570426,0.034402303,2021-05-03,2019-09-25
MAY BELIEVE,CIMA DE TRIOMPHE (IRE),MISSY PUSSYCAT,Macho,Orilla Del Monte,132,2019,450000,10011.123,0.60124266,0.01641661,0.009870366,2019-06-06,2017-10-31
TOP ONE CITY,CITYSCAPE (GB),MISS TOP ONE,Macho,Firmamento,138,2019,450000,10011.123,0.7780931,0.09187852,0.07149004,2019-06-06,2017-08-15
ROSHALDE,MANIPULATOR (USA),OUTWALK,Hembra,Cortines,132,2019,450000,10011.123,0.7771173,0.04412029,0.03428664,2019-06-06,2017-10-18
INESPERADA CAT,HURRICANE CAT (USA),PRIME QUEEN (USA),Hembra,Loma Linda,139,2019,450000,10011.123,0.66133124,0.03119719,0.020631677,2019-06-06,2017-09-08
EVASOR ISLAND,LUCKY ISLAND,SUMMER SCREAMER (USA),Macho,Alborada,12,2022,2050000,10000,0.60527706,0.018267576,0.011056945,2022-05-23,2020-08-13
SEWELO,SEIZE (USA),NOT FOR FREE,Macho,Alborada,4,2022,2050000,10000,0.6248681,0.03616724,0.022599755,2022-05-23,2020-09-02
EMS,CATCHER IN THE RYE (IRE),ELEMENTARY,Hembra,Avourneen,9,2021,15000,9999.939,0.86552495,0.0050761565,0.00439354,2021-04-10,2019-09-17
CITY CANTOR,CITYSCAPE (GB),MUSIC NISTEL,Macho,Firmamento,26,2024,14000,9988.143,0.7960721,0.1119038,0.0890835,2024-05-23,2022-07-05
CURIOUS HIT,HIT IT A BOMB (USA),CURIOUS DAY,Hembra,Firmamento,31,2023,21000,9976.899,0.7290987,0.061106615,0.04455275,2023-05-16,2021-09-11
AL BUEN VIVIR,ANGIOLO,BIEN MIA,Macho,El Paraiso,20,2023,3800000,9973.753,0.7163306,0.013548829,0.00970544,2023-03-19,2021-11-11
EAST ENDER,IL CAMPIONE (CHI),SILVER HOUSE,Macho,NN Criador,15,2020,19000,9973.546,0.6285032,0.07224089,0.04540363,2020-09-30,2018-09-29
VAMOS PERPIGNAN,SEATTLE FITZ,PERPIGNAN (USA),Hembra,Firmamento,32,2018,380000,9968.5205,0.7168778,0.037002902,0.02652656,2018-09-26,2016-11-05
CURIOSO CAMP,CAMPANOLOGIST (USA),CURIOSA WELLS,Macho,Firmamento,19,2018,380000,9968.5205,0.7615581,0.06967057,0.05305819,2018-09-26,2016-10-10
ABRAZO DE OSO,QUE VIDA BUENA,APOTHEOSIS,Macho,Don Florentino,1,2022,2100000,9952.606,0.5102488,0.028040504,0.014307633,2022-04-26,2020-07-02
ALIYAR,ANGIOLO,SOFT COPY,Macho,El Paraiso,22,2022,2000000,9950.249,0.73697615,0.043551583,0.03209648,2022-03-20,2020-08-18
RED LAGER,REMOTE (GB),REALIDAD ROMANA,Macho,Establecimiento Mariana Eva,31,2022,18000,9949.503,0.6134418,0.060181186,0.036917657,2022-06-24,2020-08-01
OPTIMISTIC GIRL,MANIPULATOR (USA),SEN OPTIMIST,Hembra,Vikeda,34,2019,450000,9944.751,0.697467,0.016496805,0.011505978,2019-04-30,2017-08-14
STRONG BOY,GREENSPRING (USA),STORMY VERANEA,Macho,Vikeda,5,2019,450000,9944.751,0.58909637,0.014369803,0.008465199,2019-04-30,2017-10-22
CANDY BILLION,SEÑOR CANDY (USA),BEAUTIFUL STAR,Macho,Vikeda,1,2019,450000,9944.751,0.75700533,0.020345332,0.0154015245,2019-04-30,2017-09-19
IGUAL MANDA,LONG ISLAND SOUND (USA),IGUALITARIA,Hembra,Abolengo,23,2022,17000,9943.409,0.719989,0.09787014,0.07046542,2022-05-22,2020-07-21
SAN PATRIO,SEBI HALO,WIKIPEDIA,Macho,El Paraiso,53,2021,16000,9935.679,0.66582394,0.022570265,0.015027823,2021-04-24,2019-10-23
EL CAMINO REAL,IL CAMPIONE (CHI),BELLATRICE,Macho,El Paraiso,24,2021,16000,9935.679,0.8057708,0.090248086,0.072719276,2021-04-24,2019-09-28
TALENTO REAL,HURRICANE CAT (USA),TAPETINA,Macho,Vacacion,18,2024,14000,9930.232,0.6576668,0.048850644,0.032127447,2024-06-18,2022-09-15
SANTA POLA,INTERACTION,SALLY MASH (CHI),Macho,Pozo De Luna,15,2022,17000,9930.055,0.6784555,0.06888753,0.046737123,2022-06-12,2020-10-30
EURITO,HURRICANE CAT (USA),ELPHABA,Macho,El Mallin,31,2019,10500,9929.647,0.7720474,0.052192964,0.04029544,2019-08-28,2017-10-07
PRELUDIO LENTO,DADDY LONG LEGS (USA),PULPOSA HOLIDAY,Macho,Los Turfistas,4,2022,19500,9925.795,0.58932465,0.05126644,0.030212577,2022-09-19,2020-09-02
AGNOLO,ANGIOLO,NOCILLA,Macho,Tres Jotas,13,2021,16000,9920.042,0.740892,0.09669377,0.07163964,2021-05-16,2019-08-20
ATROS,HELIOSTATIC (IRE),ATOMIC STAR,Macho,Santa Maria De Araras,3,2020,17000,9917.194,0.79176384,0.13752672,0.108888686,2020-05-01,2018-07-15
FUNKY BOONE,DANIEL BOONE (BRZ),FUZARCA,Macho,Santa Maria De Araras,29,2020,17000,9917.194,0.5767412,0.10223116,0.058960922,2020-05-01,2018-09-01
ONLY LOVE,JOHN F KENNEDY (IRE),OHIO LADY,Macho,Abolengo,84,2022,18000,9907.169,0.78166234,0.04452162,0.034800872,2022-03-27,2020-07-22
WHISKY SOUR,SUGGESTIVE BOY,WHISKY MALT,Hembra,Carampangue,19,2024,14500,9902.963,0.6101757,0.059961222,0.03658688,2024-06-30,2022-09-19
GRAND CANDYMAN,SEÑOR CANDY (USA),GRAND DINER,Macho,Carampangue,18,2024,14500,9902.963,0.6078218,0.03701728,0.02249991,2024-06-30,2022-08-23
SEXBOMB,NICHOLAS,SINGAPORE CITY,Hembra,Carampangue,10,2024,14500,9902.963,0.38217926,0.034236073,0.013084318,2024-06-30,2022-10-01
VALDOBBIO,HIT IT A BOMB (USA),VALDOBBIA,Macho,Firmamento,22,2024,12500,9898.374,0.6796301,0.08421857,0.057237476,2024-09-25,2022-08-12
HELEN'S RIM,REMOTE (GB),TERMS RYE,Hembra,Firmamento,9,2024,12500,9898.374,0.7468811,0.06894906,0.05149675,2024-09-25,2022-09-29
ZONDA HAPPY,HI HAPPY,DISTINGUIDA ZENDA,Macho,Firmamento,17,2024,12500,9898.374,0.7107623,0.09172794,0.06519677,2024-09-25,2022-08-02
AXION,DADDY LONG LEGS (USA),ANE HERMOSA,Macho,Abolengo,25,2024,15000,9896.798,0.75757706,0.08603297,0.065176606,2024-07-07,2022-07-28
LOLE R,EQUAL STRIPES,LOLITA RATE,Macho,Abolengo,23,2024,15000,9896.798,0.6833938,0.04718081,0.032243073,2024-07-07,2022-10-07
ESMERALDA CHIC,DADDY LONG LEGS (USA),ESMERALDA DAY,Hembra,Abolengo,18,2024,15000,9896.798,0.55112123,0.1191185,0.065648735,2024-07-07,2022-08-25
BEAUTIFUL BEACH,TREASURE BEACH (GB),BEAUTYREST,Macho,El Chanar,28,2022,21000,9896.636,0.6505479,0.012815171,0.008336883,2022-08-25,2020-11-09
SEATTLE SUNSET,LIZARD ISLAND (USA),GERAL SEATTLE,Macho,El Trebol,5,2024,13200000,9887.641,0.6393663,0.028527036,0.018239226,2024-08-19,2022-08-24
EXITOS,IL CAMPIONE (CHI),SHOPTILYOUDROP,Macho,El Paraiso,13,2021,18500,9880.76,0.7693577,0.112093985,0.086240366,2021-09-26,2019-09-16
GANAS,LEOFRIC (USA),GAIN AGAIN (USA),Hembra,Los Turfistas,28,2024,13000,9867.717,0.24956174,0.011742216,0.0029304079,2024-09-10,2022-11-01
CATALINA BOSS,HOLY BOSS (USA),CAYAYA,Hembra,La Leyenda,66,2022,17000,9854.297,0.72255737,0.08101161,0.058535535,2022-05-12,2020-08-19
SELECTOR AGAIN,SEEK AGAIN (USA),SAHARAN LADY,Macho,La Esperanza,116,2022,17000,9854.297,0.7957101,0.029086638,0.023144532,2022-05-12,2020-09-22
ELEVADO AGAIN,SEEK AGAIN (USA),ELEVADORA,Macho,Las Raices,114,2022,17000,9854.297,0.83903974,0.025952125,0.021774864,2022-05-12,2020-08-29
VENI VOLA,QUE VIDA BUENA,VALERISCA,Hembra,Don Florentino,14,2023,4800000,9846.154,0.49710914,0.015894687,0.007901394,2023-05-22,2021-07-05
CHARM GAME,LONG ISLAND SOUND (USA),CHARLOTTE CHANTAL,Macho,Abolengo,56,2024,11500,9845.813,0.7774383,0.034372523,0.026722515,2024-03-20,2022-07-31
RUTY,HELIOSTATIC (IRE),VIVA LAS VEGAS,Hembra,Santa Maria De Araras,35,2022,17000,9838.805,0.673454,0.05889955,0.03966614,2022-04-11,2020-08-19
PALINDROMO,PORTAL DEL ALTO,PALI AIKE,Macho,El Gusy,24,2023,22000,9838.088,0.81770456,0.06335203,0.051803246,2023-04-25,2021-07-19
FLY AGAIN,KHOZAN (USA),GAIN AGAIN (USA),Macho,Los Turfistas,20,2023,22000,9838.088,0.41491443,0.034749206,0.014417947,2023-04-25,2021-08-29
THE IRISH MAN,CATCHER IN THE RYE (IRE),CHARMING MELODY,Macho,La Leyenda,7,2021,18500,9830.002,0.7727606,0.054661293,0.042240094,2021-09-29,2019-11-11
CAMINA LA CITY,TOUAREG,POMPEII CITY (USA),Macho,Don Florentino,22,2022,2800000,9824.562,0.17624088,0.013862877,0.0024432056,2022-09-25,2020-11-08
CALA NOVA,TREASURE BEACH (GB),COMING AWAY,Hembra,Las Retamas,11,2024,11000,9822.222,0.6160867,0.011870961,0.007313541,2024-04-14,2022-10-02
HIT ENJOY,HIT IT A BOMB (USA),ENJOY ROMA,Hembra,Firmamento,85,2021,16000,9819.872,0.7109045,0.12971511,0.092215054,2021-05-20,2019-10-29
MORE SECRET,JOHN F KENNEDY (IRE),SOUTH SECRECY,Macho,Abolengo,23,2019,10000,9815.202,0.6058128,0.029838433,0.018076506,2019-07-03,2017-10-03
ALISHA,ROMAN RULER (USA),ARENZANA,Hembra,Vacacion,28,2019,10000,9815.202,0.5301307,0.04899724,0.025974939,2019-07-03,2017-08-30
PONTINIA,HURRICANE CAT (USA),PEACE GIRL,Hembra,Vacacion,32,2019,10000,9815.202,0.6064821,0.0331381,0.020097664,2019-07-03,2017-10-11
MOUTH SHUT,TREASURE BEACH (GB),MY LIPS ARE SEALED,Macho,Abolengo,39,2019,10000,9815.202,0.6497487,0.054301217,0.035282146,2019-07-03,2017-10-25
DORADA GIRL,GREENSPRING (USA),DOÑA DELICIA,Hembra,Vikeda,14,2022,17000,9810.774,0.5535795,0.011673936,0.0064624515,2022-05-19,2020-10-20
TORO SPRING,GREENSPRING (USA),THUNDER ROYALE,Macho,Vikeda,8,2022,17000,9810.774,0.69326544,0.016162122,0.01120464,2022-05-19,2020-10-19
CORTINES MAN,MANIPULATOR (USA),VAN DEL TALA,Macho,Cortines,18,2022,17500,9810.457,0.6525753,0.017257763,0.01126199,2022-04-25,2020-07-21
HUMILLA,SIXTIES ICON (GB),HUMORISTA (USA),Hembra,La Pasion,79,2019,450000,9803.921,0.7907549,0.03785256,0.029932097,2019-05-16,2017-08-08
CATCHARCA,CATCHER IN THE RYE (IRE),CADARCA (IRE),Hembra,La Pasion,80,2019,450000,9803.921,0.6563791,0.05030046,0.03301617,2019-05-16,2017-07-01
VALE VENDETTA,VIOLENCE (USA),VALENTINA RIDE,Hembra,La Pasion,83,2019,450000,9803.921,0.6485587,0.04871172,0.03159241,2019-05-16,2017-10-15
SIMPLIFY,ZENSATIONAL (USA),SIAMBRETTA,Hembra,La Pasion,72,2019,450000,9803.921,0.713442,0.015415219,0.010997864,2019-05-16,2017-07-12
EXPENSIVE GIFT,COSMIC TRIGGER,EXAMINADORA,Macho,Abolengo,40,2019,10000,9799.337,0.528104,0.042239033,0.022306602,2019-04-30,2017-08-20
PREDILECTA MIA,NASHVILLE TEXAN,MI PREDILECTA,Hembra,Masama,27,2023,3900000,9798.995,0.6685882,0.016604548,0.011101605,2023-04-16,2021-10-14
GALLAECIA,ANGIOLO,NOCILLA,Hembra,Tres Jotas,3,2023,20000,9798.857,0.7538861,0.0328284,0.024748877,2023-09-11,2021-09-23
DONCIC,DADDY LONG LEGS (USA),DOS GARDENIAS (CHI),Macho,Los Turfistas,10,2023,20000,9798.857,0.50745165,0.03896663,0.01977368,2023-09-11,2021-08-27
TREMENDAS,DADDY LONG LEGS (USA),TELEMANIACA,Hembra,Los Turfistas,23,2023,20000,9798.857,0.39396825,0.023304978,0.009181421,2023-09-11,2021-09-15
ROD STEWART,ORPEN (USA),RICA ROY,Macho,Carampangue,21,2023,19000,9794.753,0.5802291,0.06009323,0.03486784,2023-06-27,2021-10-07
LINDA CANCION,IN THE DARK,LIBERITA,Hembra,Vacacion,6,2020,17500,9792.052,0.47973785,0.065217644,0.031287372,2020-06-14,2018-09-25
ILLEGAL HORSE,IN THE DARK,INCOMBENZA,Macho,Vacacion,89,2020,13000,9788.732,0.5747287,0.089372076,0.0513647,2020-03-15,2018-10-10
PERSONAL SOUND,LONG ISLAND SOUND (USA),PERSONAL FEST,Macho,Abolengo,67,2021,15000,9787.289,0.5389313,0.046882663,0.025266536,2021-03-29,2019-09-17
ESTILO EMPERADOR,LONG ISLAND SOUND (USA),EMPRESS STYLE,Macho,Abolengo,51,2021,15000,9787.289,0.6513062,0.08810634,0.057384208,2021-03-29,2019-09-07
LA DESCARADA,TREASURE BEACH (GB),BURG ANIÑADA,Hembra,El Chanar,36,2019,10000,9780.522,0.7177194,0.031462967,0.022581581,2019-05-15,2017-09-16
COCTEL IRLANDES,SEEK AGAIN (USA),QUICK FRAMBOISE,Macho,El Mallin,34,2019,10000,9780.522,0.71287465,0.077595465,0.05531584,2019-05-15,2017-09-19
LYRICA,SUGGESTIVE BOY,LEOPARDA,Hembra,Avourneen,10,2022,17000,9779.861,0.82509613,0.023706647,0.019560263,2022-04-10,2020-10-15
RIO ESCONDIDO,PUERTO ESCONDIDO,ALL ABOUT EVE,Macho,Santa Cecilia,21,2022,17000,9775.006,0.48051396,0.025169948,0.012094512,2022-04-07,2020-07-26
TALENT HORSE,EQUAL TALENT,PICK QUADRO,Macho,Don Yayo,4,2022,17000,9775.006,0.73276275,0.026107932,0.01913092,2022-04-07,2020-07-06
CHARMING MAN,CIMA DE TRIOMPHE (IRE),CHARMING MELODY,Macho,La Leyenda,37,2019,450000,9771.987,0.8702775,0.08989852,0.07823666,2019-05-26,2017-08-23
DOM API,STORM EMBRUJADO,RHYTHMICAL BEAT (USA),Macho,La Leyenda,23,2019,450000,9771.987,0.60851437,0.037452035,0.0227901,2019-05-26,2017-09-12
AGUA RIDE,LEOFRIC (USA),AGUACHILE,Hembra,Pozo De Luna,18,2024,12000,9762.8955,0.56801605,0.10659852,0.06054967,2024-05-19,2022-08-18
ASI FUE LEO,LEOFRIC (USA),ASI FUE,Macho,Pozo De Luna,15,2024,12000,9762.8955,0.699824,0.033540465,0.02347242,2024-05-19,2022-08-20
LAST SEARCH,HURRICANE CAT (USA),LA ENSEÑANZA,Macho,Vacacion,13,2019,10000,9761.067,0.6592046,0.040703695,0.026832063,2019-07-31,2017-10-29
SHAKIRO,EQUAL STRIPES,SOY EDITORA,Macho,El Doguito,14,2019,10000,9761.067,0.8495288,0.018754717,0.015932672,2019-07-31,2017-10-10
