name,PBRS,PB,PR,PS,highInbreedingPadrillos,inbreedingCoefficient,mother,Momsiblings,uncles,dams_parents_career,lote,padrillo,M,birth_eday,PRS,haras,link,sex
RAINERA,.017395474,.3679463,.8433485,.054385651,,.0316444939150977,-.056204192,-.021486979,-.038997721,.0031383038,59,BODEMEISTER (USA),RADICAL LADY,28oct2019,.028779289,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
RAVISHING LOVE,.015190084,.35933748,.83066219,.049168773,"DB, J",.0304530008486128,.012200724,-.10827657,-.060459204,-.0028733388,60,LIZARD ISLAND (USA),RAHY'S DARLIN (USA),18sep2011,.063698493,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
RUDD,.022607733,.37057477,.84922963,.06970647,MYL,.0362446492906472,.020106208,-.021486979,-.0081992447,.021114193,61,LIZARD ISLAND (USA),RESTRAIN (USA),15aug2019,.038156718,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
SCOOTALOO,.021787912,.41981658,.83519214,.060158309,"M, SDA",.0360890405691331,-.043489106,-.05451658,.0092888661,.021530792,62,CATCHER IN THE RYE (IRE),STORMY NINGUNA,25oct2018,.026088208,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
SHERAH,.019192612,.34765041,.82629484,.064761542,J,.0334886583730475,-.047017213,-.05451658,.10595454,-.025648706,17,EXCHANGE RATE (USA),SIFRA,30sep2016,.032252651,Santa Inés,remates/listado/102,1
SHY SIMONA,.018409751,.40034243,.827492,.053766213,"UM, I",.0339672030315165,-.056204192,-.05451658,.01254968,-.014489368,63,HURRICANE CAT (USA),SHY CANDELA,13aug2018,.049734332,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
SIBERIAN ROSE,.013129473,.28746349,.80640572,.055535451,IM,.031767716985099,-.0010823049,-.098410234,.056992106,-.067372382,21,EXCHANGE RATE (USA),SIBERINA,05aug2010,.032034576,Santa Inés,remates/listado/102,1
SIFRA,.021150449,.25392675,.81202507,.10079774,"TGD, IM",.0362647037610865,.012200724,.30982885,-.036236089,-.071403019,26,SOUTHERN HALO (USA),MY PALESTINA,20oct2006,.043262627,Santa Inés,remates/listado/102,1
STARRY MISS,.03213603,.56548148,.83170062,.066254698,J,.0319829194599569,-.0043160059,.095890939,-.033581018,-.067372382,64,SOUTHERN HALO (USA),STAR BROWN,17sep2009,.094462961,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
TABA IS BACK (USA),.017707426,.25172284,.77698886,.087335609,"E, DB, I, J",.0380007061067398,-.0094417296,.17410493,-.049102053,.023008861,65,PULPIT (USA),TABA STAR (USA),19apr2007,.043368254,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
TAN ALEGRE,.03548681,.6042006,.84098065,.067800842,C,.0362276590677612,.028270241,.15673406,-.05690375,-.067372382,66,SOUTHERN HALO (USA),ALEGRIA MIA,08oct2009,.046609964,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
THUNDER BAMBA,.039775375,.58007479,.80453616,.082764708,TGD,.035762799781534,-.005838247,.043436099,-.026444647,.099381097,67,THUNDER GULCH (USA),BAMBA FITZ,24sep2007,.11713646,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
TINTA CHINA (USA),.019607646,.26946899,.74839181,.093769774,"E, DB, I, J",.03984132794125,.017623916,.18500432,-.049102053,.025008835,68,ENGLISH CHANNEL (USA),TING A FOLIE,01mar2009,.09478914,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
TWEEDIA,.016933616,.34523353,.81278253,.058559403,,.0319496100820575,-.019456264,-.021486979,.031967498,-.067372382,1,FORTIFY (USA),TWILA,27aug2020,.02918176,Santa Inés,remates/listado/102,1
UNICA SANTA,.015372408,.37070984,.80534029,.049850751,M,.0346557749634411,-.025217284,-.021486979,-.014314651,-.097836949,69,SANTILLANO,UNBRIDLED IDOL (USA),11aug2020,.018188644,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
VETTORA,.021499384,.37654871,.82594669,.067035377,,.0207735023435769,-.025217284,.08516863,-.0095519274,-.05717383,70,EQUAL STRIPES,STORMY VENTURADA,28aug2014,.040281124,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
VIL BOMB,.019612318,.38848811,.82298601,.059554983,,.0342187546829767,-.092952117,-.021486979,-.011185102,.057840563,6,HIT IT A BOMB (USA),STORMY VIL,19oct2021,.06115555,FIRMAMENTO,/remates/venta-training-haras-firmamento-1/lotes,1
VIVANTA (IRE),.012252282,.34332299,.74196839,.046495397,,.0322553657068439,-.036521748,-.14718607,-.049102053,.042252287,71,INVINCIBLE SPIRIT (IRE),VADORGA,16apr2011,.01946968,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
VOLKOVA,.024232445,.35008264,.80610967,.083344415,,.0354050218107946,-.092952117,.17115591,.0127916,.018946342,72,EASING ALONG (USA),VLYTAVA,22aug2011,.071844429,LA PASIÓN,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
WONDERFUL HALO,.022727473,.4939492,.80556953,.055275459,J,.0386110026169066,-.012027964,-.017375071,-.054980136,-.017560385,73,SOUTHERN HALO (USA),MISS WONDERFUL,13sep2008,.11386223,FIRMAMENTO,/remates/remate-de-yeguas-madres-firmamento-y-la-pasion/lotes,1
