title,eday,year,genre,auctionOrder,haras1,name,padrilloAuction,yeguaAuction,studbook_id,birth_eday,PR,PS,PRS,valueUSDB,pricePerBp
Gran Venta Anual De Productos 2021 Haras Avourneen  Resumen,02apr2023,2023,Hembra,10,Avourneen,GRAN CELESTIAL,IL MERCATO,VOLKOVA,433074,17aug2021,.73575765,.017676722,.013005784,5302.5327,4077.0574
Gran Venta Anual De Productos 2021 Haras Avourneen  Resumen,02apr2023,2023,Macho,1,Avourneen,ELBORAK,MANIPULATOR,EXPRESS TIME,433069,31aug2021,.83118117,.036296718,.030169148,47722.797,15818.41
Gran Venta Anual De Productos 2021 Haras Avourneen  Resumen,02apr2023,2023,Macho,7,Avourneen,CORNWALL,REMOTE,CENTURIANA,433073,20oct2021,.90467107,.033212587,.030046467,4507.1528,1500.0608
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,16,Santa Maria De Araras,TRAJANUS,DANIEL BOONE,TATIE QUEEN,426978,27jul2021,.80557108,.16323885,.1315005,7953.7993,604.84937
Gran Venta Anual De Productos 2021 Haras Avourneen  Resumen,02apr2023,2023,Hembra,9,Avourneen,LADY AFRICA,MANIPULATOR,LEOPARDA,432619,21oct2021,.77042019,.012330659,.0094997883,5302.5327,5581.7378
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,31,Santa Maria De Araras,SUPER FEST,DANIEL BOONE,SIBLIME AMOUR,,,,,,6893.2925,
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,22,Santa Maria De Araras,SANA COSTUMBRE,DANIEL BOONE,SUBLIMACION,428787,12sep2021,.57882994,.18248056,.10562521,21210.131,2008.0557
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,3,Santa Maria De Araras,SAPHIRUS BLUE,DANIEL BOONE,SAFIRA AZUL,431135,11oct2021,.78309244,.080231607,.062828764,20679.879,3291.4668
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,45,Santa Maria De Araras,PARMENIUM,DANIEL BOONE,PARDONNES MOI,431141,13oct2021,.76613224,.083394028,.063890852,6363.0396,995.9234
Gran Venta Anual De Productos 2021 Haras Avourneen  Resumen,02apr2023,2023,Hembra,12,Avourneen,LETS DANCE,GRAND REWARD,LINIATTA,436262,15oct2021,.78290951,.0074914913,.0058651599,5355.5581,9131.1377
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,33,Santa Maria De Araras,VULCANO,DANIEL BOONE,VIRA VOLTA,428784,09sep2021,.7440896,.098828822,.073537499,11135.319,1514.2369
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,26,Santa Maria De Araras,FRIEND SWEET,DANIEL BOONE,FRUIT CUP,428907,12sep2021,.66332805,.092156902,.061130259,13256.332,2168.5386
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Hembra,37,Santa Maria De Araras,QUITE WIND,DANIEL BOONE,QUELLE BIJOU,426975,13jul2021,.6219545,.1029878,.064053722,5302.5327,827.82587
Gran Venta Anual Haras Santa Maria De Araras  Resumen,02apr2023,2023,Macho,32,Santa Maria De Araras,QUE JUDOKA,JAPAN,QUE BELLA NOCHE,430910,05oct2021,.52590138,.10305879,.054198761,16437.852,3032.8833
Gran Venta Anual De Productos 2021 Haras Avourneen  Resumen,02apr2023,2023,Hembra,11,Avourneen,ROMANCY,IN THE DARK,ROMANARA,432622,12oct2021,.80114532,.015197771,.012175622,3923.8743,3222.73
