rank,TPBRS,PBRS,PB,PR,PS,PRS,inbreedingCoefficient,mother,Momsiblings,uncles,maternalParents,M_age_at_service,M_season_orig,birthRate,birthRateLast3,hadRestYear,M_total_rcs,M_won_rcs,M_cumAEI,M_STK_ran,M_STK_won,M_g1_STK_placed,M_g1_STK_won,MomSib_Sibs_at2y,MomSib_Sibs_raced_at2y,MomSib_wnrs_STK_at2y,Dam_Raced_STK,MSib_StkWnrs_Offs,Dam_Placed_STK,Dam_Total_Rcs,Dam_Mean_T3_BSN,Best_Foal_Bsn,Best_Foal_Raced_Stk,Best_Foal_Placed_Stk,Dam_Sib_Total_G1G2,Dam_Sib_Total_G1G2G3,DamSibs_G1G2_Total,DamSibs_TotalG1G2_Won,foal_wnrs_3yo,num_births,num_services,MomSib_STKRunners_at2y,MSibs_GSTK_Total_runs,MSibs_GSTK_Total_wins,name_clean,padrillo_clean,M_clean,Dam_raced_stk_won_stk,foal_stk_wnrs,offs_ran_over_2yo,blank,blank1,blank2,blank3,blank4,blank5,blank6,foal_stk_rnrs,date_last_service,lote,haras,link,start,end_date
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la plage,cosmic trigger,i&amp;#039;love cat,,,,,,,,,,,,,19,El Trebol,https://www.fallowremates.com/remates/6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la savante,pneumatic,la limeÑita,,,,,,,,,,,,,2,TRES MARÍAS,https://arg-sales.com/remates/view/359,19-06-2025,22-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la tangueria,touareg,quien dice tango,,,,,,,,,,,,,17,Don Florentino - La Valkiria,https://www.fallowremates.com/remates/7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la tik tok,touareg,joy beloved,,,,,,,,,,,,,15,Don Florentino - La Valkiria,https://www.fallowremates.com/remates/7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,la unica dama,catcher in the rye,una lady,,,,,,,,,,,,,13,Juan Antonio y Santa Maria de Araras e Invitados,https://www.fallowremates.com/remates/5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,larry king,uncle chuck,lariana,,,,,,,,,,,,,33,SANTA INÉS,https://arg-sales.com/remates/view/350,29-05-2025,01-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lejano oeste,vekoma,mariah girl,,,,,,,,,,,,,11,Don Florentino - La Valkiria,https://www.fallowremates.com/remates/7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,licina,suggestive boy,little goose girl,,,,,,,,,,,,,13,POZO DE LUNA,https://arg-sales.com/remates/view/349,19-05-2025,22-05-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lima de veras,sekari,miss baby,,,,,,,,,,,,,9,TRES MARÍAS,https://arg-sales.com/remates/view/359,19-06-2025,22-06-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,linda menina,daniel boone,la varendetta,,,,,,,,,,,,,25,Juan Antonio y Santa Maria de Araras e Invitados,https://www.fallowremates.com/remates/5,,
