name,padrillo,M,birth_eday,sex,PR,PS,PRS,Haras,value,valueUSDB,pricePerBp,title,source,auctionOrder,studbook_id,year,date
abrazo fuerte,in the dark,aneta,14sep2019,Macho,.68212503,.042488065,.028982172,Vacacion,16000,10439.775,3602.137,Resumen Gran Venta Selecta Haras Abolengo Y Haras Vacacion,https://www.turfdiario.com/resumen-gran-venta-selecta-haras-abolengo-y-haras-vacacion/,58,415951,2021,"29 mar, 2021"
feel cool,in the dark,fool to cry,14sep2019,Macho,.67460442,.046320789,.031248208,Vacacion,76000,49588.934,15869.369,Resumen Gran Venta Selecta Haras Abolengo Y Haras Vacacion,https://www.turfdiario.com/resumen-gran-venta-selecta-haras-abolengo-y-haras-vacacion/,76,415952,2021,"29 mar, 2021"
posedonia,hurricane cat,planchetina,16sep2019,Hembra,.53798306,.02575258,.013854451,Vacacion,8300,4499.2192,3247.49,Venta Estrellas Haras Vacacion  Resumen,https://www.turfdiario.com/venta-estrellas-haras-vacacion-resumen/,22,415955,2021,"18 jul, 2021"
sueÑo profundo,in the dark,skympy,07sep2019,Macho,.70035172,.064863861,.045427516,Vacacion,32000,20879.551,4596.2344,Resumen Gran Venta Selecta Haras Abolengo Y Haras Vacacion,https://www.turfdiario.com/resumen-gran-venta-selecta-haras-abolengo-y-haras-vacacion/,32,415956,2021,"29 mar, 2021"
lovely face,in the dark,love and roses,08sep2019,Hembra,.5958913,.060371231,.035974693,Vacacion,42000,27404.41,7617.6914,Resumen Gran Venta Selecta Haras Abolengo Y Haras Vacacion,https://www.turfdiario.com/resumen-gran-venta-selecta-haras-abolengo-y-haras-vacacion/,52,415957,2021,"29 mar, 2021"
ardorada,in the dark,aprilla,10sep2019,Hembra,.61355484,.054156814,.033228174,Vacacion,8300,4499.2192,1354.0375,Venta Estrellas Haras Vacacion  Resumen,https://www.turfdiario.com/venta-estrellas-haras-vacacion-resumen/,19,415961,2021,"18 jul, 2021"
kind horse,orpen,khalesi queen,12sep2019,Macho,.60381538,.076856263,.046406992,Vacacion,67000,43716.559,9420.2529,Resumen Gran Venta Selecta Haras Abolengo Y Haras Vacacion,https://www.turfdiario.com/resumen-gran-venta-selecta-haras-abolengo-y-haras-vacacion/,35,415963,2021,"29 mar, 2021"
ebrio de amor,in the dark,eivissa jet,05sep2019,Macho,.63915014,.05550953,.035478923,Vacacion,34000,22184.521,6252.8735,Resumen Gran Venta Selecta Haras Abolengo Y Haras Vacacion,https://www.turfdiario.com/resumen-gran-venta-selecta-haras-abolengo-y-haras-vacacion/,40,415965,2021,"29 mar, 2021"
golden box,sir winsalot,grand gallery,02oct2019,Hembra,.46870562,.010176612,.0047698352,El Gusy,5500,3305.3804,6929.7583,Gran Venta Fallow Republica  Resumen,https://www.turfdiario.com/gran-venta-fallow-republica-resumen-2/,29,415969,2021,"15 jun, 2021"
muy dandy,catcher in the rye,lindalindalinda,25sep2019,Macho,.79339528,.096654721,.076685399,El Gusy,15000,9014.6738,1175.5398,Gran Venta Fallow Republica  Resumen,https://www.turfdiario.com/gran-venta-fallow-republica-resumen-2/,26,415970,2021,"15 jun, 2021"
es la maxima,john f kennedy,escriba maxima,06oct2019,Hembra,.42215595,.020226603,.0085387807,Abolengo,6600,3559.4893,4168.6152,Beta Linda El Precio Mas Alto En La Venta De Abolengo / Resumen,https://www.turfdiario.com/beta-linda-el-precio-mas-alto-en-la-venta-de-abolengo-resumen/,26,416022,2021,"15 aug, 2021"
personal sound,long island sound,personal fest,17sep2019,Macho,.6112451,.039714277,.024275158,Abolengo,15000,9787.2891,4031.8127,Resumen Gran Venta Selecta Haras Abolengo Y Haras Vacacion,https://www.turfdiario.com/resumen-gran-venta-selecta-haras-abolengo-y-haras-vacacion/,67,416023,2021,"29 mar, 2021"
osada soy,john f kennedy,oriental bay,17sep2019,Hembra,.46093518,.017338598,.0079919696,Abolengo,10000,5539.1338,6930.8745,Gran Venta Estrellas Haras Abolengo  Resumen,https://www.turfdiario.com/gran-venta-estrellas-haras-abolengo-resumen/,28,416024,2021,"27 jun, 2021"
secret runner,star runner,secretisima mani,14sep2019,Macho,.50885969,.019480763,.0099129751,El Tala,3800,2077.9434,2096.1853,Light Ray Fue Precio Maximo En La Venta De Racehorse / Resumen,https://www.turfdiario.com/light-ray-fue-precio-maximo-en-la-venta-de-racehorse-resumen/,7,416067,2021,"6 aug, 2021"
bansky,cosmic trigger,besha,12sep2019,Macho,.61790466,.036446195,.022520274,Estirpe De Criadores,8000,4106.7949,1823.599,La Hermana De Top One Scape Y Top One City Al Tope En La Venta De La Catedral,https://www.turfdiario.com/la-hermana-de-top-one-scape-y-top-one-city-al-tope-en-la-venta-de-la-catedral/,13,416070,2021,"22 oct, 2021"
re penky,remote,penky nistel,01sep2019,Macho,.76157379,.09723638,.074052677,Firmamento,15500,8363.9297,1129.4568,Gran Venta Primavera Haras Firmamento  Resumen,https://www.turfdiario.com/gran-venta-primavera-haras-firmamento-resumen/,9,416082,2021,"13 oct, 2021"
